Engineering Discipline,Years of Experience,Location,Company,Salary (INR),Category
Engineer,6,Chennai,Startup,772121,Startup
Software Engineer,12,Hyderabad,Amazon,1115966,Product
Senior Engineer,14,Delhi,L&T,1300000,Others
Junior Engineer,1,Hyderabad,Amazon,375042,Product
Engineer,9,Noida,HCL,973543,Service
Engineer,3,Chennai,Capgemini,593041,Service
Engineer,6,Bangalore,Tech Mahindra,726730,Service
Service Engineer,6,Chennai,Wipro,823554,Service
Senior Engineer,10,Noida,Startup,1160599,Startup
Engineer,4,Pune,L&T,538283,Intenship
Senior Engineer,11,Pune,HCL,1227887,Service
Junior Engineer,2,Chennai,IBM,408074,Product
Service Engineer,1,Bangalore,Infosys,352821,Service
Service Engineer,15,Delhi,Infosys,1300000,Service
Engineer,9,Chennai,L&T,1052540,Intenship
Engineer,3,Mumbai,Tech Mahindra,539982,Service
Senior Engineer,11,Hyderabad,Capgemini,1104853,Service
Engineer,5,Hyderabad,L&T,616077,Intenship
Software Engineer,10,Chennai,Amazon,1096415,Product
Service Engineer,11,Delhi,TCS,1026615,Service
Service Engineer,2,Mumbai,TCS,465164,Service
Senior Engineer,12,Noida,Tech Mahindra,1300000,Service
Senior Engineer,11,Chennai,HCL,1063482,Service
Software Engineer,10,Gurgaon,Google,1113643,Product
Service Engineer,14,Noida,Cognizant,1300000,Service
Software Engineer,8,Gurgaon,Amazon,1013506,Product
Service Engineer,12,Mumbai,Cognizant,1118465,Service
Engineer,6,Hyderabad,Tech Mahindra,746178,Service
Engineer,9,Pune,L&T,978736,Others
Service Engineer,5,Delhi,Cognizant,702674,Service
Engineer,9,Hyderabad,IBM,869596,Product
Senior Engineer,15,Mumbai,Tech Mahindra,1300000,Service
Service Engineer,6,Mumbai,Wipro,742491,Service
Junior Engineer,0,Mumbai,Capgemini,263468,Service
Service Engineer,12,Gurgaon,TCS,1300000,Service
Engineer,3,Gurgaon,Microsoft,567957,Product
Senior Engineer,10,Noida,L&T,1165420,Others
Engineer,8,Hyderabad,Capgemini,933588,Service
Service Engineer,3,Chennai,Infosys,539808,Service
Junior Engineer,2,Pune,L&T,519614,Intenship
Engineer,7,Chennai,Amazon,763349,Product
Junior Engineer,0,Hyderabad,Startup,343649,Startup
Service Engineer,9,Pune,Cognizant,1070717,Service
Service Engineer,0,Noida,Infosys,307958,Service
Software Engineer,11,Bangalore,Amazon,1085296,Product
Senior Engineer,11,Delhi,HCL,1239788,Service
Service Engineer,7,Hyderabad,Infosys,744179,Service
Senior Engineer,12,Gurgaon,Accenture,1176004,Consulting
Senior Engineer,12,Pune,Tech Mahindra,1195126,Service
Senior Engineer,15,Chennai,Accenture,1300000,Consulting
Senior Engineer,10,Noida,Tech Mahindra,1121467,Service
Service Engineer,8,Gurgaon,TCS,968042,Service
Senior Engineer,10,Hyderabad,HCL,1007355,Service
Engineer,7,Noida,L&T,742266,Intenship
Engineer,3,Chennai,Google,529830,Product
Engineer,5,Delhi,Google,604891,Product
Software Engineer,12,Mumbai,Microsoft,1113006,Product
Junior Engineer,2,Gurgaon,IBM,414693,Product
Service Engineer,14,Bangalore,TCS,1259708,Service
Engineer,6,Chennai,Startup,732998,Startup
Service Engineer,0,Pune,Wipro,275660,Service
Engineer,6,Noida,Amazon,783158,Product
Engineer,7,Mumbai,Startup,976563,Startup
Senior Engineer,11,Pune,Accenture,1259397,Consulting
Junior Engineer,0,Chennai,Accenture,281085,Consulting
Engineer,5,Chennai,Amazon,777071,Product
Engineer,5,Chennai,Accenture,656516,Consulting
Senior Engineer,10,Gurgaon,Microsoft,979197,Product
Engineer,5,Gurgaon,Startup,662701,Startup
Engineer,7,Pune,Startup,744642,Startup
Engineer,7,Pune,IBM,885541,Product
Senior Engineer,11,Chennai,Capgemini,1041402,Service
Engineer,9,Delhi,Accenture,1112014,Consulting
Senior Engineer,12,Chennai,HCL,1114393,Service
Service Engineer,13,Chennai,Wipro,1298523,Service
Software Engineer,14,Noida,Microsoft,1242421,Product
Junior Engineer,0,Chennai,Tech Mahindra,344064,Service
Senior Engineer,13,Noida,L&T,1258772,Others
Engineer,9,Pune,Capgemini,1039828,Service
Engineer,8,Bangalore,HCL,813809,Service
Junior Engineer,1,Noida,Microsoft,326638,Product
Junior Engineer,1,Hyderabad,L&T,358542,Intenship
Engineer,4,Delhi,L&T,538243,Intenship
Engineer,4,Delhi,Capgemini,686818,Service
Senior Engineer,13,Chennai,Capgemini,1300000,Service
Service Engineer,9,Pune,TCS,1123719,Service
Senior Engineer,11,Bangalore,Startup,1294814,Startup
Engineer,7,Delhi,Amazon,841269,Product
Software Engineer,13,Pune,Microsoft,1300000,Product
Engineer,6,Pune,Google,816557,Product
Service Engineer,8,Mumbai,Cognizant,1017463,Service
Service Engineer,14,Hyderabad,Infosys,1300000,Service
Engineer,3,Delhi,L&T,604438,Intenship
Service Engineer,10,Bangalore,Infosys,1060564,Service
Senior Engineer,11,Gurgaon,Capgemini,1164659,Service
Service Engineer,9,Delhi,Wipro,1150976,Service
Service Engineer,11,Hyderabad,Cognizant,1216506,Service
Engineer,5,Gurgaon,Capgemini,783083,Service
Service Engineer,15,Hyderabad,TCS,1300000,Service
Software Engineer,15,Hyderabad,Google,1300000,Product
Engineer,4,Gurgaon,Google,615102,Product
Service Engineer,12,Mumbai,TCS,1282746,Service
Engineer,7,Chennai,HCL,775098,Service
Service Engineer,9,Pune,Wipro,1000981,Service
Senior Engineer,14,Gurgaon,Startup,1232869,Startup
Service Engineer,11,Noida,Wipro,1300000,Service
Service Engineer,12,Bangalore,Cognizant,1252351,Service
Software Engineer,9,Hyderabad,Google,1074020,Product
Service Engineer,12,Noida,Wipro,1128219,Service
Junior Engineer,1,Delhi,Amazon,418748,Product
Junior Engineer,0,Delhi,Startup,295776,Startup
Service Engineer,3,Mumbai,TCS,531733,Service
Junior Engineer,0,Pune,Microsoft,277032,Product
Service Engineer,9,Chennai,TCS,931228,Service
Senior Engineer,10,Mumbai,HCL,1197635,Service
Engineer,6,Chennai,Microsoft,756838,Product
Junior Engineer,1,Mumbai,Tech Mahindra,401654,Service
Senior Engineer,12,Delhi,Tech Mahindra,1181652,Service
Engineer,6,Delhi,L&T,837801,Others
Senior Engineer,13,Pune,Accenture,1195601,Consulting
Engineer,7,Hyderabad,Startup,815844,Startup
